parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
_InitialConc9		lin	5.28E+08	5.28E+10	5277842600	0
_InitialConc10		lin	5.06E+09	5.06E+11	50629691000	0
_InitialConc11		lin	4.65E+08	4.65E+10	4648479700	0
_InitialConc12		lin	2.43E+10	2.43E+12	2.43E+11	0
_InitialConc13		lin	1.38E+09	1.38E+11	13847757000	0
_InitialConc14		lin	4.21E+08	4.21E+10	4208780500	0
_InitialConc15		lin	3.80E+08	3.80E+10	3799343900	0
_InitialConc16		lin	4.30E+09	4.30E+11	42969631000	0
_InitialConc17		lin	3.44E+06	3.44E+08	34406152	0
_InitialConc18		lin	9.70E+08	9.70E+10	9702831900	0
_InitialConc19		lin	6.56E+08	6.56E+10	6560445900	0
_InitialConc20		lin	4.32E+06	4.32E+08	43226888	0
_InitialConc21		lin	1.33E+07	1.33E+09	133239590	0
_InitialConc22		lin	8.19E+07	8.19E+09	819445660	0
_InitialConc23		lin	1.13E+05	1.13E+07	1132433.3	0
_InitialConc24		lin	3.35E+07	3.35E+09	335108260	0
_InitialConc25		lin	2.30E+06	2.30E+08	22950816	0
_InitialConc26		lin	1.15E+03	1.15E+05	11461.427	0
_InitialConc27		lin	6.01E+05	6.01E+07	6010538.6	0
_InitialConc28		lin	6.02E+05	6.02E+07	6017412.1	0
_InitialConc29		lin	4.59E+02	4.59E+04	4587.8816	0
_InitialConc30		lin	5.90E+09	5.90E+11	59042195000	0
_InitialConc31		lin	4.52E+07	4.52E+09	452427730	0
_InitialConc32		lin	1.18E+08	1.18E+10	1177804900	0
_InitialConc33		lin	1.11E+08	1.11E+10	1110340400	0
_InitialConc34		lin	5.91E+09	5.91E+11	59109660000	0
_InitialConc35		lin	6.01E+09	6.01E+11	60070998000	0
_InitialConc36		lin	1.49E+07	1.49E+09	149002040	0
_InitialConc37		lin	4.98E+09	4.98E+11	49793694000	0
_InitialConc38		lin	1.98E+06	1.98E+08	19785953	0
_InitialConc39		lin	1.04E+09	1.04E+11	10406520000	0
_InitialConc40		lin	5.09E+05	5.09E+07	5087326.8	0
_InitialConc41		lin	5.09E+05	5.09E+07	5087326.8	0
_InitialConc42		lin	5.09E+05	5.09E+07	5087326.8	0
_InitialConc43		lin	5.09E+05	5.09E+07	5087326.8	0
_InitialConc44		lin	5.09E+05	5.09E+07	5087326.8	0
_InitialConc45		lin	9.35E+04	9.35E+06	934673.17	0
_InitialConc46		lin	9.35E+04	9.35E+06	934673.17	0
_InitialConc47		lin	9.35E+04	9.35E+06	934673.17	0
_InitialConc48		lin	9.35E+04	9.35E+06	934673.17	0
_InitialConc49		lin	9.35E+04	9.35E+06	934673.17	0
_InitialConc50		lin	0.00E+00	0.00E+00	0	0
_rateLaw1		lin	4.17E+17	4.17E+19	4.17E+18	0
_rateLaw2		lin	5.20E-02	5.20E+00	0.51975052	0
Ce_compartment		lin	1.40E+09	1.40E+11	13986043000	0
Wee_compartment		lin	5.90E+09	5.90E+11	59042195000	0
pWee_compartment		lin	1.18E+08	1.18E+10	1177804900	0
iWee_compartment		lin	0.00E+00	0.00E+00	0	0
functionRate01		lin	1.15E-27	1.15E-25	1.15E-26	0
functionRate02		lin	1.15E-29	1.15E-27	1.15E-28	0
