,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72
0,0.0,0.032074673517613485,-0.013058541789574827,-0.044883287954315586,-0.03036676907605804,-0.04115872623980011,0.009767023156048897,-0.02274621853254334,0.012945707297972868,-0.001036454738413906,0.0019054270099780376,-0.0016319754246495624,-0.13042740526806976,-0.14933884841906142,-0.0186289155093466,0.04907814559937407,-0.01022704080453707,-0.012299943780427999,0.01996767771691223,-0.05603001363969814,-0.006925101564807535,0.029370057741346378,-0.04510312590759211,-0.01632857271987528,-0.05651697365110108,-0.034350774262740025,0.023637521048381977,0.01237735001654412,-0.04489330440184201,0.0006581196400964081,-0.04158949856674524,-0.03630316451406953,-0.04269345125561708,0.00033521028724874623,0.00030279383750737035,-0.04255171194499821,0.00046420723214413547,-0.04418786643622861,-0.044937726790237865,0.01194121268503088,0.011941212734422118,0.011941212831491613,0.011941214109106695,0.01194121302973936,-0.0012600891008241182,-0.0012600890523465696,-0.001260088956952647,-0.0012600876955094977,-0.0012600887609941858,-0.033445705944268815,-0.03344570589767183,-0.033445705805450816,-0.03344570458438162,-0.03344570561551761,,-0.02428218669182514,-1.1173265359486022,0.0,0.0,0.0,-1.0681327428634013,-0.06888952138633245,-1.500298096875264e-13,0.03953646010726538,-0.11900443344573487,-0.03453227273818187,-0.12919103411982574,-0.1276599307966606,-0.07712080701584957,0.03371272390788446,0.10171295102436553,0.026697704082718744
1,0.0,-0.01606685017645956,0.002605524542649651,0.02152965518886936,0.017993162877433213,0.022058754720234774,-0.006236952596541419,0.012505366065366364,-0.002721437121835633,0.0006313676210844964,-0.0009375720707569974,0.0008918587111429746,0.011178797044922553,0.03103505759325846,0.01872173310583021,-0.023324992885587394,0.0055864832592829846,0.006738828964809713,-0.011261554455840454,0.029001147285237654,0.006611171451085863,-0.006081402128924121,0.024999589173992476,0.006074091011833043,0.02745790231766333,0.016123287528273036,-0.01109480890373489,-0.005904838152321943,0.021417203033345714,-0.00036931301316269594,0.022344458045045673,0.020372026993186937,0.02285189888560201,-0.00017942310506938473,-0.0001620910946833781,0.022778711789204795,-0.0002285125910408183,0.023467000442722995,0.022111766723246478,-0.0025675985574130284,-0.002567599071034082,-0.0025675989135148947,-0.002567597738210351,-0.0025675987448656257,2.200022997383588e-05,2.199971497033131e-05,2.1999872679839475e-05,2.200105133642012e-05,2.200004218127086e-05,0.01889364619788389,0.01889364567232001,0.018893645833215584,0.018893647034202786,0.0188936460059279,,0.011293930374085635,-1.2101575229091706,0.0,0.0,0.0,-8.330602383159638,-0.015659390629367404,-1.500298096875264e-13,-0.019908991541797788,0.011575484291095823,-0.03662750472002708,0.015969027618665393,0.014866267291244203,-0.01379579830878949,-0.016756552969037462,-0.05030406100940148,-0.011084810538234334
2,0.0,0.03005578075189122,-0.004919356065498018,-0.03832001543562865,-0.03213223585086429,-0.03882801759809886,0.011131633490901108,-0.022781193659319507,0.00513996747245415,-0.0011276250743710273,0.001637925437195431,-0.0016358478450602548,-0.02237926277714948,-0.056216902067786186,-0.03307464307109432,0.04520184885531991,-0.010254456103407819,-0.012341358611911898,0.020405540803882027,-0.052155661875510566,-0.012409468386881273,0.012824358766816616,-0.04388582206802249,-0.011959516404198768,-0.04842275768313226,-0.029332353390172292,0.020184243162344073,0.010585899906270405,-0.03839561426256013,0.0006534006582638378,-0.03937341107032104,-0.03604285625936379,-0.04012280954313095,0.0003150267339842055,0.0002846616471619889,-0.040003589606955756,0.0003992143932479383,-0.041103356931908544,-0.0386289505777228,0.004843041643921858,0.004843041334598287,0.00484304149655821,0.004843042696076961,0.004843041660118219,-8.398590715013213e-05,-8.398621503493347e-05,-8.398605414247168e-05,-8.398485992767338e-05,-8.398589034754994e-05,-0.033640153024779025,-0.03364015332231635,-0.03364015316706123,-0.033640152012596375,-0.0336401530084327,,-0.020553373397103707,-1.4028303732124596,0.0,0.0,0.0,-0.06257212105372123,0.028304034530083764,0.0,0.03741588311894158,-0.022206465777338834,0.06880479699718517,-0.02945847024329384,-0.027668353213422692,0.02587183039618818,0.031104374268669636,0.09878470585758913,0.0208569901151148
3,0.0,-0.020854561669991344,0.003357669612433931,0.028081894303776597,0.02347981935231655,0.02881615052576175,-0.008140084363381464,0.01628135479975513,-0.0035095390248311696,0.0008238429430585402,-0.0012264746795872066,0.0011601548235252875,0.01659162443526809,0.04242088747452,0.024180086255691076,-0.03015967286488515,0.007267227512759037,0.008767762946161715,-0.01466850887724794,0.03779421459912611,0.00855635056156074,-0.00886042846562237,0.032673415513049635,0.007827567600864964,0.03585484993086302,0.020982823769541706,-0.014438762660927423,-0.00769671543573148,0.027916449525702804,-0.00048231575803706344,0.029184787820892368,0.026605479071658666,0.0298614855421535,-0.0002344593105829168,-0.0002118048601746643,0.029765002673617404,-0.0002989249643123051,0.03067535989388031,0.028925266505926528,-0.0033121821936331498,-0.003312182593890865,-0.003312182470988582,-0.003312181305037719,-0.0033121823211187413,2.227783610405214e-05,2.227743380700809e-05,2.2277556938467133e-05,2.2278727226207356e-05,2.2277708105223336e-05,0.02465949791030674,0.02465949749757256,0.024659497624076633,0.024659498823156868,0.02465949777937898,,0.014697682820558444,-1.0611340657920816,0.0,0.0,-3.0003961584496e-13,-0.5862190424680175,-0.020663262313095006,-1.500298096875264e-13,-0.025830983100017225,0.014694542610244141,-0.0477846512227956,0.02045626326950679,0.01900320805575689,-0.018188593173897424,-0.021766797983308755,-0.06497281393574923,-0.014371389028645928
4,0.0,0.024950691510800493,-0.004078343713541313,-0.03198257750241323,-0.026810136610157017,-0.032445403286850354,0.009289457724679269,-0.01896710802150569,0.00426097369995527,-0.0009409320415986025,0.0013698520333892252,-0.0013609784254596745,-0.018681287600952244,-0.0470353905618685,-0.027599993968500942,0.03737788892255548,-0.008530807078403545,-0.010269339307048438,0.017000255258449015,-0.04348619077927098,-0.010286619513133467,0.01051644358787529,-0.03668377987731853,-0.00987740532155406,-0.040455296578842614,-0.024424974639210242,0.016807359658470404,0.008828740892260252,-0.032022301938637185,0.000545704701188617,-0.0328976867103989,-0.03010213695944374,-0.033536255228241246,0.0002633119931948463,0.00023792583134436208,-0.03343579092004814,0.00033387575372936166,-0.03436472743024197,-0.03230668826983206,0.00401550527379697,0.004015504762375289,0.004015504893449737,0.004015505485548581,0.004015505108484589,-6.570583747618033e-05,-6.570634716036435e-05,-6.570621684685723e-05,-6.570562650885326e-05,-6.570600206164987e-05,-0.028076710084599627,-0.028076710580540436,-0.02807671045409102,-0.028076709880093264,-0.028076710244904886,,-0.01711331703644782,-1.2416693365853122,0.0,0.0,-3.0003961584496e-13,-0.9329673632255882,0.023617470713976033,-1.500298096875264e-13,0.03104615019132506,-0.018361181664573602,0.057131414317008966,-0.02446500941328577,-0.022955428342051266,0.02150366340112011,0.02584493525089922,0.08157297142953965,0.017302951443463586
5,0.0,-0.025571240548085173,0.004109814446698338,0.03461281663765993,0.028932465254324812,0.03556267187014157,-0.010029969984600522,0.020019511456684878,-0.0042963219376893225,0.0010150301449198002,-0.001514975836667612,0.0014254403989778397,0.02047750379812859,0.05244065460733328,0.029796347586734107,-0.03684835633038854,0.008928354070922103,0.010774488160023448,-0.01804457558849461,0.04652869185789557,0.01038859942548195,-0.009733404185744221,0.04033368880153697,0.009537091126769068,0.044236778800150735,0.02580104965903538,-0.017754302193669066,-0.009478973652000395,0.034380790123328356,-0.0005949244492300346,0.036012782177684034,0.0328171943778791,0.03686326447986231,-0.0002894342133237207,-0.0002614609796610444,0.03674319254069431,-0.00036923976335581426,0.03787845042598845,0.03572929840709679,-0.004055281361183957,-0.004055281897414383,-0.004055281768292886,-0.004055281036234973,-0.004055281611213184,2.2937635759992815e-05,2.2937097029374492e-05,2.2937225993448494e-05,2.293796145364415e-05,2.2937384733858193e-05,0.030395874215601443,0.03039587365971297,0.030395873792807247,0.03039587455077887,0.030395873956631448,,0.01807297544167545,-1.8365657447223585,0.0,0.0,0.0,-1.083424395721334,-0.02545262951731181,-1.500298096875264e-13,-0.03165690387598652,0.017923777722529836,-0.05858398109073538,0.025077506610480575,0.02326962618701605,-0.022329243211095456,-0.026708750388903458,-0.07926757782823617,-0.01760960225573823
6,0.0,0.019884792222144936,-0.003245407353967296,-0.02562500756576477,-0.021474744434129275,-0.026027169069677912,0.007441865270130262,-0.015159908372499416,0.003390625739351625,-0.0007537210904830653,0.0010998200130405283,-0.0010869956528560478,-0.014986004156577986,-0.037792730459146134,-0.02210829313166637,0.029672092214245147,-0.006812967945929461,-0.008203338789530513,0.01359647236052271,-0.03480619989650007,-0.008192827873976965,0.008363147515073277,-0.029436640933551275,-0.007831051501765371,-0.032446218917043856,-0.01952458471926456,0.013435287691300922,0.0070685440036358654,-0.02563797206814283,0.00043752741737874566,-0.026387092269909228,-0.02413486673803371,-0.026909436119761376,0.00021128111093807197,0.00019090659619210167,-0.026828163217787953,0.00026805998965961746,-0.027581391759699366,-0.025938233800865705,0.00319583891614521,0.003195838548248729,0.003195838632271804,0.0031958392711967,0.0031958387791442993,-4.909409612811751e-05,-4.909446296838078e-05,-4.909437963457627e-05,-4.909374194191656e-05,-4.9094232231814e-05,-0.022495943327928827,-0.022495943686543715,-0.02249594360541349,-0.022495942981896964,-0.022495943460763987,,-0.01367922337349124,-1.5831307850099594,0.0,0.0,-3.0003961584496e-13,-3.076285262945825,0.018919565582334805,-1.500298096875264e-13,0.024730961166501135,-0.014572000901854308,0.04554289830264611,-0.019502648594383637,-0.018280721670867313,0.01716059499690029,0.020616169106176186,0.06466827815862215,0.013780993886912651
7,0.0,-0.030251623365754942,0.004852720509141893,0.04116018469297618,0.034396544053206114,0.04234293434671523,-0.011923404406655168,0.023749413005480672,-0.005073832020170629,0.001206542153859395,-0.0018053928584861863,0.001689720444170199,0.024381049048211544,0.06254292493522288,0.035424744208217215,-0.043434777211281736,0.010582952349071847,0.012774314014549966,-0.021416001331406167,0.0552638348610778,0.012282849827652742,-0.011535087443729823,0.04803675188030805,0.011210494896901473,0.05265676142524205,0.030608671238560235,-0.02106252467863697,-0.01126289544509568,0.04085116577111134,-0.0007079881293968607,0.042872826430907486,0.039054007759334035,0.04390405159176131,-0.0003447153911685221,-0.00031139113296734764,0.04375989247116759,-0.0004400212898370184,0.045125573385751155,0.042578514208032575,-0.004789833041794644,-0.004789833065865607,-0.004789833074585127,-0.004789832193316629,-0.004789833001916028,2.1855519023248713e-05,2.1855494707537136e-05,2.185548540732879e-05,2.1856371469020277e-05,2.185555937192097e-05,0.0361477654289297,0.03614776540357272,0.03614776539368262,0.03614776631186168,0.03614776547078453,,0.021441373460102282,-1.5655578610124197,0.0,0.0,0.0,3.6745821782227575,-0.030246736846282023,0.0,-0.037431867451105105,0.021092500243317092,-0.06929471744090163,0.02965947224572691,0.02748957222144653,-0.02644743896908017,-0.031619307029451586,-0.09330729702245055,-0.020818493853122927
8,0.0,0.014857108973891931,-0.002421556079840198,-0.019248979057114347,-0.016126533743581643,-0.019574745614706037,0.005589224098469023,-0.011359954685067699,0.002529841194406454,-0.0005660350669076538,0.0008278858205232976,-0.0008139352139803906,-0.01127148946035941,-0.028470280632885543,-0.01660298591054248,0.022085119616475444,-0.0051011450723992815,-0.006143624008003235,0.010194659126561603,-0.02611841629041445,-0.006111917420935879,0.0061832003630994834,-0.022145936975338048,-0.005819744959255049,-0.024397158713317036,-0.014632312395844841,0.010068815061349464,0.005305729909602059,-0.019244153497697394,0.0003288847183487966,-0.019843279378572814,-0.01814192330536383,-0.020243744841613343,0.00015894502139618603,0.0001436138853636825,-0.0201821038861061,0.00020178085507790308,-0.02075471636938602,-0.019524918370561216,0.0023848920191469505,0.0023848920821968466,0.0023848920288182546,0.0023848930212122315,0.002384892041237557,-3.427524834285015e-05,-3.427518535364321e-05,-3.427523846920633e-05,-3.427424886323088e-05,-3.427522617545725e-05,-0.01689858274601181,-0.016898582684551276,-0.016898582736986544,-0.01689858176376653,-0.016898582724216578,,-0.010250890915676264,-1.6498036482712592,0.0,0.0,0.0,-13.322999942126478,0.014208751648132753,0.0,0.018469324528293463,-0.010840095087906725,0.03403480473135779,-0.014574629976698459,-0.0136473722621959,0.01283877312444943,0.015417125150299301,0.04806551008903339,0.01028963449040422
9,0.0,-0.03489692631908265,0.005586584053950648,0.04772589966712907,0.039873514402452404,0.04916009011608718,-0.013820858721010541,0.02747213870724966,-0.005842325784658091,0.001398426683536831,-0.002097878466452135,0.0019530830148565602,0.02830650106842029,0.07273403884644099,0.04106670551581902,-0.04992677892061959,0.012231565358963293,0.014767906502707607,-0.024783406516563754,0.06400268675541594,0.014136307958610114,-0.013044264086346357,0.05578582691921559,0.012846170794650323,0.06111808670782425,0.03540738149287365,-0.02436462055145408,-0.01304911964381295,0.047329902039991996,-0.0008215496917794259,0.049768119039478226,0.045318285303930374,0.05098720906547165,-0.0004003292424713955,-0.00036161910676142,0.050818445239288135,-0.0005113067508097307,0.05242028733918849,0.04947651569448911,-0.00551606798785075,-0.00551606776562312,-0.005516067837563055,-0.005516067350188891,-0.005516067788117446,1.9032702528241446e-05,1.903292497915549e-05,1.903285327266462e-05,1.9033343082220618e-05,1.9032902799641668e-05,0.041916944905855374,0.04191694513721094,0.0419169450621095,0.04191694557309668,0.041916945114142616,,0.02480311796916116,-1.5807386927972344,0.0,0.0,0.0,-1.5811139024065965,-0.035046431073050874,1.5023310211257726e-13,-0.04315697040037587,0.024198590318510342,-0.0799172146536415,0.03420201150329547,0.03166261065734739,-0.030544369911113395,-0.03649869499523736,-0.10710079819277994,-0.023997836079805542
