CCND()
CCNE(CDKN1A_B)
E2F(DBD,RB1,Ser332~u)
E2F(DBD,RB1,Ser332~p)
CCNA(CDKN1A_B)
CCNB(CDK1_Thr14_Tyr15~u,CDKN1A)
E2F(DBD,RB1!1,Ser332~u).RB1(E2F!1,Ser807_Ser811~u)
E2F(DBD,RB1!1,Ser332~p).RB1(E2F!1,Ser807_Ser811~u)
RB1(E2F,Ser807_Ser811~u)
RB1(E2F,Ser807_Ser811~p)
PPP2R2B(ENSA_ARPP19)
APC(FBXO5,FZR1_CDC20,Ser355~u)
CDC20(APC)
APC(FBXO5,FZR1_CDC20!1,Ser355~p).CDC20(APC!1)
APC(FBXO5,FZR1_CDC20,Ser355~p)
APC(FBXO5,FZR1_CDC20!1,Ser355~u).FZR1(APC!1,FBXO5,nTerm~u)
FZR1(APC,FBXO5,nTerm~u)
FZR1(APC,FBXO5,nTerm~p)
APC(FBXO5!1,FZR1_CDC20!2,Ser355~u).FBXO5(APC!1,FZR1!3,Ser182~u).FZR1(APC!2,FBXO5!3,nTerm~u)
FBXO5(APC,FZR1,Ser182~u)
APC(FBXO5!1,FZR1_CDC20!2,Ser355~p).FBXO5(APC!1,FZR1!3,Ser182~u).FZR1(APC!2,FBXO5!3,nTerm~u)
APC(FBXO5,FZR1_CDC20!1,Ser355~p).FZR1(APC!1,FBXO5,nTerm~u)
FBXO5(APC,FZR1,Ser182~p)
FOXM1(DBD,Thr600~u)
FOXM1(DBD,Thr600~p)
CCNB_promoter(FOXM1!1).FOXM1(DBD!1,Thr600~p)
CCNB_promoter(FOXM1)
CDC20_promoter(FOXM1)
CDC20_promoter(FOXM1!1).FOXM1(DBD!1,Thr600~p)
WEE1(Ser123~u)
CCNB(CDK1_Thr14_Tyr15~p,CDKN1A)
WEE1(Ser123~p)
CDC25(pSites~p)
CDC25(pSites~u)
MASTL(Thr198~u)
MASTL(Thr198~p)
ENSA_ARPP19(PPP2R2B,Ser62_Ser67~u)
ENSA_ARPP19(PPP2R2B,Ser62_Ser67~p)
ENSA_ARPP19(PPP2R2B!1,Ser62_Ser67~p).PPP2R2B(ENSA_ARPP19!1)
CCNE_promoter(E2F)
CCNA_promoter(E2F)
E2F_promoter(E2F)
FBXO5_promoter(E2F)
FOXM1_promoter(E2F)
CCNE_promoter(E2F!1).E2F(DBD!1,RB1,Ser332~u)
CCNA_promoter(E2F!1).E2F(DBD!1,RB1,Ser332~u)
E2F(DBD!1,RB1,Ser332~u).E2F_promoter(E2F!1)
E2F(DBD!1,RB1,Ser332~u).FBXO5_promoter(E2F!1)
E2F(DBD!1,RB1,Ser332~u).FOXM1_promoter(E2F!1)
CCNE_promoter(E2F!1).E2F(DBD!1,RB1,Ser332~p)
CCNA_promoter(E2F!1).E2F(DBD!1,RB1,Ser332~p)
E2F(DBD!1,RB1,Ser332~p).E2F_promoter(E2F!1)
E2F(DBD!1,RB1,Ser332~p).FBXO5_promoter(E2F!1)
E2F(DBD!1,RB1,Ser332~p).FOXM1_promoter(E2F!1)
iWEE()
SKP2()
TP53(DBD,Ser15~p)
CDKN1A_promoter(TP53)
FOXO(DBD)
CDKN1B_promoter(FOXO)
CDKN1A_promoter(TP53!1).TP53(DBD!1,Ser15~p)
CDKN1A(CCNE_A_B,Ser130~u)
CDKN1B_promoter(FOXO!1).FOXO(DBD!1)
CDKN1B(CCNE_A,Thr187~u)
CCNA(CDKN1A_B!1).CDKN1A(CCNE_A_B!1,Ser130~u)
CCNE(CDKN1A_B!1).CDKN1A(CCNE_A_B!1,Ser130~u)
CCNB(CDK1_Thr14_Tyr15~u,CDKN1A!1).CDKN1A(CCNE_A_B!1,Ser130~u)
CCNB(CDK1_Thr14_Tyr15~p,CDKN1A!1).CDKN1A(CCNE_A_B!1,Ser130~u)
CDKN1A(CCNE_A_B,Ser130~p)
CCNA(CDKN1A_B!1).CDKN1B(CCNE_A!1,Thr187~u)
CCNE(CDKN1A_B!1).CDKN1B(CCNE_A!1,Thr187~u)
CDKN1B(CCNE_A,Thr187~p)
CCNA(CDKN1A_B!1).CDKN1B(CCNE_A!1,Thr187~p)
CCNE(CDKN1A_B!1).CDKN1B(CCNE_A!1,Thr187~p)
