,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55
0,0.0,0.03231112144783417,-0.017731990504742532,-0.06318799183648369,-0.04509799918778107,-0.04520209246578222,-0.0008064626832409596,-0.046987614764420475,0.01709926475920071,-1.168727544887358e-05,0.001326862139281107,-0.0019383287561747858,-0.12572113780160962,-0.1618811291504395,-0.03925018156261703,0.06536347849829559,-0.015408940562202362,-0.01987567660110171,0.0006042444081080756,-0.08572134789800145,-0.04380177162162707,0.022053543486888986,-0.05027526370926105,-0.0380167515753638,-0.061706011363450254,-0.05398367589853236,0.00862890373897447,0.00374972124365592,-0.05833254254008573,0.0003189397314599327,-0.04977410425997991,-0.04597677017503772,-0.04621145723555386,0.00013092808360208353,0.00011866580886703004,-0.046118229371942696,0.0003283378920942202,-0.0500101848105191,-0.07389853224703077,0.01493527384075717,0.01493526617153669,0.014935265520608134,0.014935267401684497,0.014935266343470694,-0.0030546072943474865,-0.00305460594460569,-0.0030546059064710364,-0.0030546055208880403,-0.0030546062241349303,-0.049154924720528306,-0.049154920039452286,-0.049154919721123534,-0.049154919883999545,-0.04915492044822455,
1,0.0,-0.039483405123846314,0.02087740837467771,0.08137969642283781,0.058763561020047726,0.058815576793862935,0.00015145660266660868,0.05935200021040622,-0.019459929976594032,9.783680384852204e-05,-0.0005368777662454013,0.0024429747614792495,0.018215278475175328,0.07950800357099623,0.06016372717968064,-0.07835647790933128,0.019440543907043424,0.025057213625466954,-0.0020041573180288957,0.12042492067986911,0.0558304576559747,-0.026263681578470553,0.06561327768085384,0.04891319181251198,0.08231069742951959,0.07060014896620614,-0.011284893716761562,-0.004958691266343669,0.07713985507610527,-0.00040733195226188575,0.0645406658782551,0.05871895442372857,0.05899537108829112,-0.00016714796154079905,-0.00015175968595730719,0.05897981956177246,-0.00013359107624512161,0.056316625920773807,0.029900980472486842,-0.017081667102020602,-0.017081667604787146,-0.01708166780495876,-0.017081667332144515,-0.017081667874732646,0.0034398283331036356,0.0034398275962554564,0.0034398274517389014,0.003439828195573643,0.0034398274510385653,0.06286974959431336,0.06286974867093133,0.06286974856039079,0.06286974957088651,0.06286974861416403,
2,0.0,-0.03020248113970014,0.016071198567720758,0.06174443867806415,0.04458025761501616,0.04461086299425742,0.00020215840926532456,0.04510659171163862,-0.01504333045251899,6.636374924849189e-05,-0.00040158561195615864,0.0018614251023624268,0.014518240191485884,0.06078458011566125,0.04557803544027207,-0.06011728545714194,0.014808655833890438,0.01909034315981696,-0.0013981386870037034,0.09043330824252957,0.04250021453712995,-0.01982588709511671,0.049757869509958044,0.03717126806161803,0.06224304314300342,0.05353365710637951,-0.008556941704887026,-0.0037542557434183735,0.05840306064015755,-0.00030895432313007105,0.048976729766035614,0.04453732324102487,0.04473924915510493,-0.00012675696692058722,-0.00011508910855705783,0.04472818200181343,-9.993748295927656e-05,0.0426673321518747,0.0223659914526029,-0.013195579682310863,-0.01319558067356053,-0.013195580862600637,-0.0131955806994425,-0.013195581002570953,0.0026642346898029068,0.0026642334050064605,0.0026642332812983798,0.002664233559064657,0.002664233195114003,0.04770495374680365,0.047704952212137545,0.04770495213107757,0.04770495250872013,0.047704952080263624,
3,0.0,-0.020943836474499915,0.011214690331348547,0.042471263770005326,0.030662125331040218,0.030677912763403526,0.00019920737821995993,0.031077394119020538,-0.010542821475069058,4.025273169626841e-05,-0.00027168200060310484,0.0012858080740787432,0.009952040438739908,0.041620331133012306,0.031342916728820495,-0.04180940125863022,0.010226487713829956,0.013185572975208356,-0.0008777285745335226,0.061579123060476026,0.02933401140024253,-0.013545348497337397,0.034211837846396885,0.025608817544852214,0.042674741635221856,0.036801630631979845,-0.00588245263632416,-0.002576995419178234,0.04008901952719443,-0.0002124534285706852,0.03369633153378782,0.030626232785585912,0.030760276383203274,-8.715120185786104e-05,-7.913040666722821e-05,0.03075320744238037,-6.761900532662932e-05,0.029304036903722887,0.015131113071108182,-0.009241676668079978,-0.009241677693523536,-0.009241677910564364,-0.009241677583560174,-0.009241678149174714,0.0018707176764695176,0.001870716362049613,0.0018707162106934225,0.001870716653252955,0.0018707160256476985,0.032818283146525344,0.0328182816021523,0.032818281493306435,0.03281828203569254,0.03281828134134424,
4,0.0,-0.011712031644133454,0.0063113007032248045,0.023561693110622086,0.01700893252414264,0.01701472139761962,0.0001442606935236268,0.017269441380903767,-0.005964494834848633,1.9357946750318253e-05,-0.00014809181980244226,0.0007162994055080673,0.005497142364330943,0.022981389298908774,0.017383883684605188,-0.023447744366819494,0.005695407642250663,0.007344682144914177,-0.00044018266851793573,0.03382269920652659,0.01632768861656847,-0.0074611965349797305,0.018972584079650853,0.014228695890077749,0.023598896533666928,0.020404287882160397,-0.0032614638905963714,-0.001426694942051211,0.022194412143139563,-0.00011782774528947511,0.018697569242881275,0.01698546350562131,0.0170571153042656,-4.8326877247362335e-05,-4.387997653885776e-05,0.01705349531155824,-3.686389188641809e-05,0.016231403790520158,0.008247856198726025,-0.005227680322200074,-0.005227682038476504,-0.005227682198263439,-0.005227682169506886,-0.0052276823628966745,0.0010610219583295608,0.001061021092091719,0.0010610210221358518,0.00106102129636683,0.0010610209037935966,0.018214721714430584,0.018214721130426815,0.018214721115869352,0.018214721576600902,0.018214721021164337,
5,0.0,-0.002512032231364551,0.0013619616349452792,0.005013620513671814,0.0036192983229330618,0.003619698344819625,3.785550484237589e-05,0.00368130744010914,-0.001294156992246835,3.4919777000105695e-06,-3.095005285555596e-05,0.0001530540190981131,0.0011650820138650532,0.004868353134575083,0.0036984783581451475,-0.00504319625565174,0.0012166241324183267,0.001569205544005027,-8.375954990474972e-05,0.007127589681456265,0.0034857561929104255,-0.001575621702111901,0.00403608436408285,0.0030324431860806285,0.005006246373887535,0.004339591406982175,-0.000693656762325419,-0.00030299986830324493,0.004713561114989169,-2.5066627948569784e-05,0.003979489449228574,0.0036134807947449856,0.00362803248135681,-1.0279081613251325e-05,-9.333391009688671e-06,0.003627325053724672,-7.705422769531893e-06,0.0034485210258294046,0.0017237385852465308,-0.0011322746337598373,-0.0011322751083723897,-0.001132275270409466,-0.0011322755387337068,-0.0011322754098886357,0.00023036164746415987,0.0002303608948981923,0.0002303608006339219,0.00023036064627422154,0.00023036071715450783,0.0038768999789125184,0.0038768990412682875,0.0038768989927608385,0.0038768989240039087,0.0038768989466469016,
6,0.0,0.0066603270734443805,-0.003634166709501911,-0.01319049307043614,-0.009520336162412905,-0.009520063670826624,-0.00011771929383059274,-0.009694776189462637,0.0034586273543015366,-7.52235271399317e-06,7.986241687460591e-05,-0.00040427117681159677,-0.003048662174861121,-0.012746198839884136,-0.009727366970569638,0.01340652184426047,-0.0032126995008364325,-0.004144431297241276,0.0001945570667720554,-0.018572247160500387,-0.009199263063522388,0.004114925761178575,-0.010614358266794735,-0.007988896627487264,-0.013128642096003845,-0.011408811534239956,0.0018236099211887211,0.0007954583946232406,-0.012374600833081893,6.592366042271071e-05,-0.010471193857888132,-0.009503227985013383,-0.009540195383748708,2.70296495909462e-05,2.4543302859795133e-05,-0.009538498811144687,1.9886049461871684e-05,-0.0090574653673954,-0.004447873841285687,0.0030250661748923765,0.0030250657073362095,0.0030250655687904826,0.003025065351421511,0.0030250654667722545,-0.0006167773672852999,-0.0006167780980411736,-0.0006167781810514877,-0.000616778277878525,-0.0006167782302815437,-0.010193260925437425,-0.010193261824088994,-0.010193261868934102,-0.010193261876986992,-0.010193261882787628,
7,0.0,0.01580280668456656,-0.008676620293929719,-0.031056003782705014,-0.022413542896775256,-0.02240965742446974,-0.0003215096735558441,-0.022859835775830437,0.00829807040153862,-1.3833550682147085e-05,0.00018420834256221066,-0.0009556465345411244,-0.00714389857306195,-0.02987423989369565,-0.02289754284577734,0.0318939537003479,-0.007592373811278394,-0.009795970314167372,0.0003967842890012158,-0.04331362766728685,-0.02172437667461504,0.009607861199005757,-0.024984447731777996,-0.018836046290309327,-0.03081659184714467,-0.026845000478066573,0.004290970762375096,0.0018691568457060857,-0.029077587631268647,0.00015517231052512652,-0.024659765277860412,-0.022368870825756466,-0.02245278673734487,6.361410163672859e-05,5.776350275420903e-05,-0.022449183129794693,4.587674988524118e-05,-0.021290554250730308,-0.010259337233644012,0.007254320158076702,0.007254319551920879,0.007254319446524882,0.007254318930086682,0.007254319359956223,-0.0014826139029994368,-0.0014826147650296724,-0.0014826148040737459,-0.0014826151903726285,-0.001482614836025504,-0.02400659878177634,-0.02400659979496688,-0.024006599789495577,-0.02400660008245154,-0.024006599784657013,
8,0.0,0.02491101914423632,-0.013763451556301676,-0.04858515561730831,-0.03506243235418396,-0.03504998661275415,-0.0005717815492566512,-0.035813607322962945,0.013222750220494926,-1.5633244954158554e-05,0.00028199310975122896,-0.0015009445797691348,-0.011120650368432822,-0.046526043099116086,-0.03581434500067583,0.05040792873568417,-0.011921444757372014,-0.015384157458517145,0.0005250452281124961,-0.06713605034495324,-0.03408755846311325,0.014905444486308192,-0.039078277628375034,-0.02950850635907126,-0.048067189505862376,-0.04197225191223305,0.006708949696933697,0.0029185130978494895,-0.04540190198125218,0.00024269132142231922,-0.038586149009365515,-0.034985177474501736,-0.03511078813556835,9.947723960135156e-05,9.032987090611587e-05,-0.03510576250556022,7.024335005554988e-05,-0.033251286024659855,-0.015705382123536615,0.011553270862427674,0.01155327070546849,0.011553270585511862,0.011553270096066845,0.011553270481659158,-0.0023666346149071593,-0.002366635072166802,-0.0023666351220212023,-0.0023666354717772863,-0.002366635163331473,-0.03756333569482948,-0.037563336355912996,-0.03756333635862288,-0.03756333658082559,-0.03756333635387269,
9,0.0,0.03398866485650833,-0.018896373668925773,-0.0657947134944007,-0.04748004800577141,-0.04745444976539576,-0.0008676704650244722,-0.048567172678195054,0.0182426990641744,-1.3101326488645273e-05,0.00037319104113314917,-0.0020405311873259845,-0.01498187186961305,-0.06272560489821623,-0.04849122967561645,0.0689550017712064,-0.016202849903560274,-0.020912789256242056,0.0005812737842001807,-0.0900922497188881,-0.046295991735068015,0.020010734493817618,-0.05291172350794429,-0.04001492039132877,-0.06490469541492055,-0.05680696827990956,0.00908017305065097,0.003944847594011417,-0.061368073043698436,0.0003285722648690115,-0.05226441382188853,-0.04736534841736716,-0.047527743006939425,0.00013465743519374215,0.00012227722086366854,-0.047521766973914095,9.297976431394002e-05,-0.04495182258670558,-0.02078457843410987,0.015927183269847742,0.015927182914061106,0.015927182786522037,0.01592718237241114,0.015927182731301677,-0.0032699156228744664,-0.0032699162334245985,-0.0032699162847984156,-0.00326991657089757,-0.0032699162814307423,-0.05088072465146107,-0.05088072540171451,-0.05088072540274285,-0.050880725581610824,-0.05088072536244034,
